,sample_number,site,sample_design,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Nb,Ni,P,Pb,Rb,S,Sb,Sc,Se,Sn,Sr,Te,Th,Tl,U,V,Y,Zn,Zr
124,17,Agriculture,Fine scale,0.09,1.21,10.9,40,190,0.96,0.23,6.08,0.63,35.2,9.6,21,0.5,25.2,1.92,3.85,0.12,0.03,0.029,0.18,17.5,14.9,0.74,1190,0.95,0.56,32.5,800,11.1,12.4,0.15,0.5,2.6,2.4,0.6,129,0.05,1.8,0.12,1.59,65,10.75,92,4.8
125,17,Agriculture,Grid,0.09,1.21,10.9,40,190,0.96,0.23,6.08,0.63,35.2,9.6,21,0.5,25.2,1.92,3.85,0.12,0.03,0.029,0.18,17.5,14.9,0.74,1190,0.95,0.56,32.5,800,11.1,12.4,0.15,0.5,2.6,2.4,0.6,129,0.05,1.8,0.12,1.59,65,10.75,92,4.8
126,18,Agriculture,Grid,0.1,1.21,11.8,30,170,0.88,0.22,6.33,0.66,36.1,9.7,21,0.57,25.9,1.91,3.87,0.12,0.04,0.031,0.17,17.5,14.9,0.78,855,1.13,0.58,35.7,770,11.1,12.3,0.24,0.5,2.8,2.2,0.6,129.5,0.04,2.1,0.13,1.64,66,10.7,90,4.6
127,19,Agriculture,Grid,0.11,1.25,10,30,150,0.92,0.24,4.32,0.72,37.3,8.3,22,0.61,24.4,1.9,3.91,0.16,0.04,0.034,0.22,18.1,14.1,0.75,591,0.76,0.6,30,770,11.5,15.7,0.09,0.42,2.8,2.1,0.6,88.9,0.05,2.2,0.14,1.43,66,11.15,98,5.8
128,20,Agriculture,Grid,0.12,1.3,10.5,30,140,0.91,0.26,2.86,0.7,41,8.2,24,0.85,25.2,1.99,4.19,0.18,0.04,0.032,0.23,20,13.7,0.79,524,0.54,0.6,27.9,630,12.6,20.3,0.05,0.45,3.3,1.2,0.7,62.1,0.06,3.1,0.2,1.2,69,12.15,92,7.1
129,21,Agriculture,Grid,0.13,1.34,8.1,30,130,0.91,0.27,1.08,0.62,40.3,8.3,25,0.93,25.5,1.95,4.23,0.19,0.03,0.034,0.28,20.1,13.3,0.59,657,0.67,0.61,27.8,650,12.5,24.9,0.05,0.44,3.3,0.8,0.7,40.1,0.05,3,0.23,1.32,69,12.6,102,7.3
130,22,Agriculture,Grid,0.22,1.42,11.8,40,180,0.97,0.38,3.81,0.61,38,9.6,25,0.77,27.3,1.98,4.43,0.16,0.04,0.035,0.21,18.3,16.1,0.8,1080,1.28,0.58,32.6,750,12.3,19,0.25,0.46,3.2,1.4,0.8,105.5,0.05,2.5,0.18,1.88,74,11.8,99,6
131,23,Agriculture,Grid,0.1,1.36,7.3,30,170,0.9,0.23,4.69,0.53,40,9.6,24,0.95,22.5,1.9,4.33,0.12,0.04,0.031,0.2,19.3,15.4,0.9,932,1.11,0.5,32.2,590,11.2,18.9,0.11,0.41,3.3,0.9,0.6,107.5,0.04,3.1,0.19,1.4,71,12,86,5.4
132,24,Agriculture,Grid,0.14,1.24,9.7,30,170,1.09,0.3,4.47,0.58,33.5,8.7,23,0.59,29.6,1.88,4,0.14,0.05,0.027,0.21,16.6,17.3,0.78,786,1.02,0.58,33.3,740,13.2,14.2,0.13,0.56,3,2.1,0.7,99.7,0.05,2.1,0.13,1.39,68,10.4,96,5.4
133,25,Agriculture,Grid,0.1,1.28,12.9,30,170,1.11,0.24,4.48,0.61,38.1,10,24,0.73,25.8,2.02,4.55,0.14,0.05,0.034,0.21,18.5,18.5,0.82,723,1.18,0.61,35.7,720,12.9,16.3,0.12,0.55,3.6,1.7,0.7,94.4,0.04,2.9,0.16,1.45,71,11.6,91,6
134,26,Agriculture,Grid,0.11,1.23,7.6,30,140,0.98,0.32,2.2,0.64,34.5,8.3,23,0.63,30.4,1.81,4.13,0.19,0.05,0.027,0.25,17.6,15.2,0.69,490,0.57,0.6,28,750,12.6,17.8,0.06,0.41,3.2,1.5,0.6,56.8,0.07,2.5,0.16,1.22,67,10.75,100,7.1
135,27,Agriculture,Grid,0.12,1.32,7.5,30,130,1.01,0.27,1.25,0.54,37.9,8.4,26,0.95,25.7,1.95,4.63,0.19,0.04,0.033,0.26,19.7,16.6,0.68,493,0.55,0.62,26.5,590,12.3,22.2,0.04,0.41,3.7,1,0.7,40.7,0.05,3.6,0.21,1.23,70,12.05,93,7.8
136,28,Agriculture,Grid,0.12,1.23,8,30,130,1.02,0.29,1.27,0.51,36.2,8.2,24,0.95,25.4,1.85,4.4,0.18,0.05,0.03,0.29,18.4,15.3,0.69,637,0.66,0.63,25.7,650,12.5,24.5,0.05,0.41,3.5,0.9,0.7,38.6,0.04,3,0.23,1.25,64,11.85,90,6.9
137,29,Agriculture,Grid,0.1,1.37,9.5,40,190,1.12,0.24,4.72,0.59,36.9,10,25,0.66,26.2,2,4.72,0.16,0.04,0.033,0.21,18.2,19.8,0.88,1320,1.35,0.62,33,780,11.8,18,0.1,0.46,3.4,2.4,0.7,128.5,0.05,2.3,0.15,1.94,73,11.35,99,6.2
138,30,Agriculture,Grid,0.09,1.2,8.6,40,170,1,0.23,6.55,0.58,33.7,8.4,21,0.57,26.5,1.8,4.17,0.11,0.05,0.028,0.19,16.6,17.9,0.8,947,0.69,0.59,31.1,790,11,14.9,0.15,0.45,2.8,2.4,0.6,151,0.03,1.7,0.13,1.59,65,10.55,92,4.6
139,31,Agriculture,Grid,0.09,1.21,8.2,40,150,1.02,0.23,4.4,0.62,34.6,8.1,22,0.59,25.9,1.81,4.19,0.16,0.05,0.029,0.22,17.2,16.8,0.79,602,0.58,0.65,28.3,860,11,16.5,0.12,0.45,3,2.3,0.6,101.5,0.04,2,0.13,1.52,67,10.7,98,6.2
140,32,Agriculture,Grid,0.11,1.39,9.3,30,160,1.13,0.25,3.54,0.68,38,9.1,26,0.73,27.3,2.03,4.83,0.2,0.05,0.031,0.22,18.9,18.2,0.78,612,0.71,0.73,32.4,780,12.5,18.4,0.07,0.46,3.7,2,0.7,82.7,0.05,2.7,0.17,1.37,77,11.85,101,7.1
141,33,Agriculture,Grid,0.1,1.27,7,30,130,0.94,0.25,1.33,0.66,36.4,7.7,24,0.67,27.7,1.81,4.3,0.22,0.05,0.032,0.26,18.5,14.9,0.61,509,0.49,0.63,27,700,12.6,21.3,0.05,0.39,3.2,1.7,0.6,46,0.04,2.5,0.18,1.31,68,11.7,102,8.1
142,34,Agriculture,Grid,0.11,1.35,8.1,30,140,1.09,0.26,0.95,0.62,38.4,8.7,26,0.97,26.5,1.96,4.62,0.21,0.05,0.035,0.28,19.8,15.6,0.52,670,0.57,0.62,28.7,560,12.5,25.8,0.05,0.37,3.6,0.9,0.7,41.6,0.03,3.2,0.21,1.3,72,12.05,106,8.1
143,35,Agriculture,Grid,0.13,1.25,8.4,30,130,0.96,0.29,1.16,0.57,36.8,8.1,24,0.89,25.8,1.9,4.37,0.19,0.05,0.031,0.31,18.5,15,0.63,733,0.59,0.59,25.9,660,12.5,24.6,0.05,0.36,3.4,1,0.7,39.9,0.04,2.9,0.22,1.33,65,11.5,99,7.2
144,36,Agriculture,Grid,0.1,1.3,12.5,30,180,1.04,0.24,4.96,0.51,37.3,9.3,23,0.85,24,2.08,4.49,0.15,0.05,0.032,0.2,18.3,18.3,0.93,1230,1.6,0.56,28.3,640,11.2,18.3,0.1,0.51,3.5,1.6,0.6,118.5,0.05,3,0.17,1.71,71,11.5,86,5.8
145,37,Agriculture,Grid,0.08,1.2,8.6,40,170,0.99,0.22,7.89,0.6,33,8.6,21,0.54,26,1.83,4.18,0.1,0.04,0.029,0.19,16.2,17.4,0.81,1080,0.78,0.61,30.7,820,10.7,14.3,0.13,0.45,2.8,2.3,0.6,163.5,0.04,1.6,0.13,1.82,65,9.97,90,4.1
146,38,Agriculture,Grid,0.09,1.2,8.1,40,150,1.01,0.22,5.45,0.67,34.1,8.3,22,0.61,29,1.78,4.18,0.18,0.05,0.029,0.2,17.1,16.9,0.76,751,0.69,0.64,28.9,810,11,17.1,0.1,0.45,2.9,2.7,0.6,124,0.04,1.9,0.14,1.54,65,10.65,94,6.1
147,39,Agriculture,Grid,0.09,1.3,7.4,30,140,0.99,0.24,3.02,0.64,36,7.8,24,0.64,29.4,1.86,4.35,0.2,0.04,0.031,0.24,18,15.8,0.76,553,0.52,0.71,27.3,770,11.7,20.2,0.06,0.43,3.2,2.1,0.6,77.2,0.04,2.4,0.17,1.34,70,11.15,101,7.7
148,40,Agriculture,Grid,0.1,1.37,6.9,30,140,1.03,0.26,1.21,0.64,37.2,7.9,26,0.78,27.4,1.93,4.51,0.22,0.05,0.032,0.31,19,15.6,0.58,558,0.57,0.69,27.3,730,13,25.1,0.06,0.41,3.3,1.5,0.7,44.3,0.04,2.7,0.19,1.41,73,11.95,105,8.6
149,41,Agriculture,Fine scale,0.11,1.26,7.6,30,130,0.91,0.25,1.36,0.58,34.8,7.6,24,0.78,24.6,1.83,4.16,0.18,0.04,0.03,0.3,17.8,14.3,0.66,588,0.54,0.58,25,730,11.8,23.1,0.05,0.37,3.1,1.2,0.6,41.6,0.04,2.6,0.19,1.24,66,11.1,103,7
150,41,Agriculture,Grid,0.11,1.26,7.6,30,130,0.91,0.25,1.36,0.58,34.8,7.6,24,0.78,24.6,1.83,4.16,0.18,0.04,0.03,0.3,17.8,14.3,0.66,588,0.54,0.58,25,730,11.8,23.1,0.05,0.37,3.1,1.2,0.6,41.6,0.04,2.6,0.19,1.24,66,11.1,103,7
151,42,Agriculture,Grid,0.11,1.34,7,30,130,1,0.26,1.16,0.61,38.9,8.2,26,0.91,27.8,1.88,4.63,0.21,0.05,0.031,0.31,20.2,15.5,0.56,646,0.47,0.62,27.3,650,12.6,24.8,0.05,0.35,3.6,1.1,0.7,43.2,0.05,2.9,0.21,1.27,69,12.15,106,7.9
152,43,Agriculture,Grid,0.09,1.25,7.5,30,170,0.86,0.21,7.11,0.49,31.8,7.7,22,0.66,21.9,1.78,3.95,0.11,0.04,0.026,0.18,16,16.3,0.97,1050,1.05,0.53,26.9,650,10,14.2,0.11,0.4,3,1.6,0.6,153,0.03,2.2,0.13,1.42,65,9.99,81,4.3
153,44,Agriculture,Grid,0.09,1.16,8.7,30,170,0.86,0.22,8.78,0.59,33.1,10,22,0.67,24,1.78,3.85,0.1,0.05,0.03,0.18,16.3,15.8,0.79,1470,1.45,0.54,33,720,10.5,15.1,0.1,0.48,3,1.6,0.6,160.5,0.04,2.2,0.14,1.29,64,10.25,85,4.4
154,45,Agriculture,Grid,0.1,1.17,9.3,40,150,0.92,0.22,6.33,0.64,32.8,8.8,22,0.57,27.1,1.74,3.98,0.12,0.04,0.029,0.2,16.4,15.8,0.74,1020,1.12,0.59,30.9,840,11,15.2,0.1,0.47,2.8,2.2,0.6,126.5,0.04,1.8,0.14,1.56,66,10.1,91,4.7
155,46,Agriculture,Grid,0.1,1.32,8.4,30,140,1,0.25,2.56,0.62,36.7,8.2,26,0.86,27.2,1.96,4.49,0.2,0.05,0.034,0.26,18.7,15.7,0.8,668,0.64,0.67,27.7,750,12.2,23.3,0.06,0.45,3.3,1.7,0.7,66.6,0.05,2.6,0.21,1.38,71,11.5,105,7.4
156,47,Agriculture,Grid,0.12,1.27,8.5,30,130,0.95,0.29,1.31,0.57,37.7,8.3,25,0.89,25.5,1.92,4.37,0.2,0.04,0.03,0.29,19.1,14.6,0.62,725,0.61,0.73,27.1,640,12.4,24.1,0.05,0.4,3.2,1.1,0.6,39.7,0.04,2.7,0.22,1.42,67,11.65,106,7.5
157,48,Agriculture,Grid,0.11,1.36,9.1,30,140,1.02,0.26,1.54,0.58,38.2,8.7,26,1.07,24.5,2.04,4.59,0.19,0.05,0.03,0.28,19.3,15.4,0.76,866,0.67,0.6,27.5,600,12.4,26.7,0.04,0.42,3.6,0.8,0.7,43.4,0.05,3.4,0.24,1.51,72,11.9,103,7.4
158,49,Agriculture,Grid,0.11,1.35,7,30,130,0.96,0.25,1.68,0.48,38.5,7.8,25,1.05,24.1,1.86,4.63,0.17,0.05,0.033,0.28,19.6,15.6,0.8,700,0.48,0.6,25.9,610,11.6,25.8,0.04,0.35,3.8,0.7,0.7,46.6,0.05,3.5,0.24,1.23,70,11.9,97,7.2
159,50,Agriculture,Fine scale,0.1,1.39,10.5,40,190,1.07,0.24,5.3,0.51,36.7,9.4,25,0.71,25,2.06,4.74,0.13,0.04,0.031,0.22,18.2,18.8,0.89,1370,1.53,0.64,31.5,760,12.3,17.4,0.33,0.47,3.6,1.8,0.7,121.5,0.04,2.4,0.16,1.82,75,11.15,89,5.1
160,51,Agriculture,Fine scale,0.1,1.42,10.5,40,200,1.09,0.24,4.96,0.53,37,9.7,25,0.67,25.6,2.1,4.78,0.14,0.04,0.032,0.21,18.1,18.4,0.88,1450,1.35,0.66,30.9,740,12.5,17.9,0.2,0.46,3.5,1.9,0.7,113,0.04,2.5,0.16,1.8,76,11.45,92,5.6
161,52,Agriculture,Fine scale,0.11,1.4,10.3,40,190,1.1,0.24,4.58,0.53,38.1,10.2,25,0.69,25.2,2.05,4.77,0.16,0.04,0.031,0.21,19.2,18.3,0.85,1360,1.36,0.73,33.3,770,12.1,18.3,0.1,0.46,3.6,1.7,0.7,106,0.04,2.6,0.16,1.7,75,11.45,95,6.2
162,54,Agriculture,Fine scale,0.1,1.29,9.7,40,180,0.97,0.23,4.89,0.51,35.8,9.3,23,0.7,23.9,2,4.49,0.12,0.05,0.032,0.22,17.8,18.6,0.92,1320,1.3,0.63,30.2,760,11.7,18.6,0.37,0.45,3.3,2.1,0.6,112.5,0.05,2.4,0.15,1.98,68,11.25,87,5.2
163,55,Agriculture,Fine scale,0.1,1.27,9.7,30,170,1,0.24,4.63,0.45,35.3,8.9,23,0.77,22.7,1.98,4.18,0.13,0.04,0.03,0.22,17.3,17.7,0.92,1280,1.28,0.57,28.1,690,11.7,18.8,0.42,0.42,3.3,1.9,0.6,104.5,0.04,2.7,0.18,1.84,67,11.05,87,5.2
164,56,Agriculture,Fine scale,0.09,1.22,10,30,170,0.94,0.25,4.93,0.45,35.9,9.1,22,0.73,22.7,1.9,4.17,0.12,0.04,0.028,0.21,17.4,17.6,0.96,1260,1.23,0.56,28.1,720,11.9,17.6,0.45,0.44,3.2,2,0.6,110.5,0.05,2.7,0.16,1.82,64,11.25,88,5.2
165,57,Agriculture,Fine scale,0.09,1.3,11.8,40,200,1.03,0.24,5.54,0.58,34.4,9.7,23,0.51,27.2,2.08,4.32,0.13,0.04,0.031,0.22,17,17.4,0.8,1140,1.06,0.62,33.6,850,11.8,13.5,0.18,0.5,3,2.7,0.6,120.5,0.04,2,0.12,1.53,73,10.65,96,5.2
166,58,Agriculture,Fine scale,0.09,1.28,11.8,40,190,1.05,0.25,5.6,0.62,35.5,10.1,23,0.48,28,1.99,4.42,0.13,0.04,0.031,0.21,17.5,17.9,0.79,1140,1.05,0.68,34.7,840,12.1,13.6,0.15,0.5,3.1,2.8,0.7,124,0.04,1.9,0.12,1.59,71,10.9,95,5.1
167,59,Agriculture,Fine scale,0.08,1.18,11.4,40,190,0.96,0.23,5.8,0.59,32.7,9.6,22,0.45,25.9,1.94,4.01,0.13,0.04,0.028,0.19,16.3,16.5,0.77,1130,0.94,0.61,32.7,880,11.5,12.2,0.19,0.5,2.7,2.3,0.6,123.5,0.04,1.7,0.11,1.71,66,10.35,94,4.7
168,61,Agriculture,Fine scale,0.09,1.25,11.7,40,190,1,0.23,6.2,0.58,33.9,9.7,22,0.46,26,1.97,4.28,0.11,0.04,0.029,0.19,16.6,17.4,0.8,1260,0.9,0.62,33.7,840,11.5,12,0.18,0.47,2.9,2.7,0.6,135.5,0.05,1.7,0.12,1.6,69,10.2,91,4.4
169,62,Agriculture,Fine scale,0.09,1.13,11.4,30,190,0.95,0.24,6.43,0.56,34.8,9.6,21,0.5,25.1,1.92,3.85,0.13,0.03,0.026,0.16,16.9,19.4,0.79,1260,1.12,0.56,31.4,800,12.1,11.6,0.18,0.57,2.6,2.2,0.8,134.5,0.04,1.9,0.12,1.7,63,10.1,89,4.9
170,63,Agriculture,Fine scale,0.08,1.16,10.9,30,190,0.98,0.24,6.82,0.54,34.4,9,22,0.54,23.5,1.92,3.83,0.13,0.04,0.027,0.16,16.6,19.4,0.82,1350,1.07,0.54,30.8,840,11.2,11.5,0.26,0.51,2.7,2,0.8,143,0.05,2.2,0.13,1.7,64,10.1,92,4.8
171,64,Agriculture,Fine scale,0.11,1.25,7.8,30,140,0.91,0.26,1.5,0.65,38,8.2,25,0.85,24.8,1.92,4.11,0.21,0.04,0.03,0.26,18.8,16.1,0.67,750,0.52,0.54,27.1,630,12.2,23.3,0.04,0.41,3,1.1,0.8,44.2,0.04,3.1,0.2,1.27,66,11.35,106,8.2
172,65,Agriculture,Fine scale,0.1,1.26,8.1,30,140,0.95,0.29,1.42,0.68,39,8.3,25,0.87,25.5,1.96,4.21,0.22,0.03,0.031,0.27,19.3,16.3,0.67,762,0.51,0.58,27.7,640,12.7,24.1,0.04,0.4,3,1,0.9,43.1,0.03,3.2,0.22,1.36,67,11.9,107,8.3
173,66,Agriculture,Fine scale,0.11,1.26,8,30,140,0.94,0.27,1.61,0.64,37.7,7.9,25,0.84,25.2,1.91,4.16,0.21,0.04,0.031,0.25,19,16.3,0.72,703,0.5,0.57,27.2,630,12.3,22.4,0.04,0.4,3.1,0.9,0.8,44.2,0.04,3.2,0.2,1.3,67,11.6,104,8
174,68,Agriculture,Fine scale,0.1,1.29,9,30,140,0.93,0.28,1.81,0.61,38.4,7.9,26,0.89,24.8,2.01,4.21,0.21,0.04,0.031,0.26,19,16.7,0.75,646,0.51,0.6,27.1,640,12.3,22.7,0.04,0.43,3.2,1,0.8,45.5,0.04,3.4,0.22,1.32,70,11.55,103,8.2
175,69,Agriculture,Fine scale,0.1,1.28,8.2,30,140,0.94,0.28,1.65,0.61,38.3,8,26,0.91,26.8,1.97,4.22,0.21,0.04,0.03,0.25,19.1,16.8,0.72,645,0.51,0.59,27.3,640,12.4,22.9,0.04,0.42,3.2,0.9,0.9,45,0.04,3.3,0.22,1.34,70,11.8,103,8.2
176,70,Agriculture,Fine scale,0.1,1.27,8.5,30,150,0.92,0.28,1.61,0.62,38,8.1,25,0.84,25.2,1.95,4.14,0.21,0.05,0.03,0.25,18.8,16.6,0.71,673,0.55,0.68,27.2,650,12.5,22.1,0.04,0.4,3.1,1.1,0.8,44.4,0.04,3.2,0.21,1.36,68,11.75,102,8
177,71,Agriculture,Likely to erode,0.09,1.03,8.3,30,140,0.77,0.24,4.32,0.41,35.3,7.3,20,0.86,18.7,1.68,3.41,0.11,0.04,0.026,0.21,16.9,16.8,1.06,831,1.11,0.44,24.4,610,10.7,16.7,0.19,0.4,2.8,1.3,0.8,80.9,0.04,3.3,0.19,1.72,54,10.3,75,5.1
178,72,Agriculture,Likely to erode,0.09,1.01,14.5,30,170,0.8,0.24,4.72,0.52,33.6,9,20,0.58,20.3,1.89,3.32,0.13,0.04,0.025,0.19,16,15.9,0.88,1360,1.79,0.46,27.7,640,10.8,13.4,0.13,0.45,2.6,1.5,0.7,92.6,0.04,2.8,0.14,1.76,59,9.81,77,5.4
179,73,Agriculture,Likely to erode,0.1,1.12,9.4,30,170,0.88,0.26,3.99,0.42,42.5,9,21,0.83,19.6,1.73,3.78,0.13,0.04,0.027,0.21,19.5,17.8,0.96,1160,1.46,0.39,27.1,490,12.6,18,0.09,0.37,3.1,0.9,0.8,87.6,0.04,4.1,0.19,1.55,58,11.9,76,5.7
180,74,Agriculture,Likely to erode,0.09,0.96,11.8,20,150,0.74,0.26,4.15,0.44,38.3,8.5,19,0.98,19.6,1.74,3.39,0.11,0.05,0.026,0.21,17.6,16.2,1.03,1020,1.52,0.44,25.8,610,11.6,18.5,0.12,0.44,2.8,1.4,0.8,77.2,0.05,3.8,0.22,1.78,50,11,76,5
181,75,Agriculture,Likely to erode,0.09,1,12,20,160,0.79,0.24,4.07,0.48,36.5,9,20,0.85,19.7,1.82,3.29,0.09,0.04,0.026,0.22,17,16.1,0.95,1260,1.59,0.44,26.8,670,11.4,17.2,0.14,0.43,2.6,1.3,0.7,76.1,0.04,3.2,0.21,1.7,54,10.45,80,4
182,76,Agriculture,Likely to erode,0.09,0.93,9.9,20,150,0.74,0.23,4.23,0.41,35.7,8,18,0.88,18.7,1.65,3.19,0.1,0.04,0.025,0.2,16.9,15.3,1.1,1050,1.42,0.41,24.8,620,11.1,16.9,0.19,0.44,2.6,1.3,0.7,74.6,0.04,3.4,0.2,1.75,49,10.5,73,4.7
183,77,Agriculture,Likely to erode,0.08,1.03,9.3,20,150,0.76,0.24,4.84,0.45,35.9,7.6,20,0.83,18.3,1.68,3.3,0.1,0.04,0.024,0.22,16.9,15.2,1.04,885,1.11,0.44,24,640,11.2,16.5,0.08,0.39,2.6,1.2,0.7,81.4,0.03,3.2,0.2,1.75,56,10.35,81,4.4
184,78,Agriculture,Likely to erode,0.09,1.11,10.2,30,160,0.87,0.28,4.16,0.49,39.3,8.5,22,0.97,21.3,1.88,3.77,0.1,0.05,0.029,0.23,18.5,17.5,0.92,948,1.21,0.47,26.8,690,12.3,19.2,0.08,0.42,3,1.5,0.8,81.8,0.05,3.4,0.22,1.66,59,11.25,88,4.7
